sentence_id	sentence	sentiment	topic
0	Watched since the beginning, i can't watch any more.	negative	movie
1	Drama series should be a place to escape from politics and opinions, not a place to have it shoved down your throat...... ugh.	negative	movie
2	Lost everything that made it special.	negative	movie
3	I wish that they would cancel it and stop dragging it out.	negative	movie
4	"They said ""expect the unexpected"" before the launch of the season 8, thereby hrilling everyone's bones to the core."	neutral	movie
5	"I assume when you say something like this to anyone, you say it with promises that you will not get disappointed at all, but the sentence coined by got team has proven correct, it was ""unexpected"" at all with broken hearts of million of fans."	neutral	movie
6	I made the last moment change, ratings from 6 to 5!!!!	neutral	movie
7	The season felt like a bad anime that ran out of source material so they make up some really strange and really bad way of ending the story that makes 0 sense at all to the seasons before it.	negative	movie
8	Do not let these writers get there hands on anouther book movie or series ever again.they gave the middle finger to the whole plot they set up in prior seasons.	negative	movie
9	Season 3 primarily consists of political messaging.	neutral	movie
10	Feels weird, false, gratuitous.	neutral	movie
11	Tough to watch.	neutral	movie
12	Regardless of the story, i couldn't stand most of the acting/writing.	negative	movie
13	Most characters behaved like stressed teenagers and the dialogues felt very forced at times, and with a lot of misplaced humor & weird character interactions.	negative	movie
14	"The story revolves around scientists, however they are portrayed as if they are high school students, both in how they behave and what they talk about and every apect of scientific nature is dumbed down for the audience (""these damn scientists be doing their science n' stuff"") ."	negative	movie
15	I only found the writing and acting of the chinese speaking actors convincing, which made this hard to watch.	negative	movie
16	Best: right up to the point they had source material worst: as soon as they ran out of booksone of the best (essential) character on the show, logic, died after season 4-5.	negative	movie
17	The creators d&d (short for dumb and dumber) are apparently a couple of talent-less hacks, they hardly have anything original on their cv.	negative	movie
18	Started off so well.	neutral	movie
19	Season one was great , season two not bad, season 3 is just a joke.	neutral	movie
20	Stupid storylines trying to be more a of a comedy than cop show.	neutral	movie
21	I loved this show, but since season 3 it has become too political.	neutral	movie
22	Why do shows insist on doing this?	neutral	movie
23	Leave the politics to the politicians.	neutral	movie
24	Tv shows are too one-sided in their portrayal of current views, they go after the popular view, they do not give both sides.	neutral	movie
25	It's very attractive interesting drama that made me wait for it to watch from week to week specially that lovely sweet boy dr.o'malley .......	positive	movie
26	I won't say more about him because my man will kill me if he knew i said so ;'-))	positive	movie
27	The ups & downs, the cheering & letdowns in these people's lives is similar to what any of us may face by accident or what may interfere in his way & the life should move on...	positive	movie
28	The sense of humor is classy & the perfect dose of laughs, love, lust & heartbreaks is all classy, i even loved or maybe wished to be a doctor my self ;'d well done for the whole crew & go forward i wish u all for more success in this project & yet of the rest to come.	positive	movie
29	Just watched the second episode of season 3, and it feels weird that they have to make the girl say thanks to the man sitting in her car...	neutral	movie
30	And this episode keeps underemphasizing crimes...	neutral	movie
31	It made it sounded like people don't have to be responsible for their own behaviors...	neutral	movie
32	Used to be a great series to watch to escape this horrific society we've created.	negative	movie
33	Now with s17, politics and racism managed to squeeze itself in here too, and made it exponentially worse, even insulting at times..	negative	movie
34	The webber/bailey dynamic used to be my absolute favorite, and even those characters got strangled by the politic agenda the writers seem to impose on the audience.	negative	movie
35	Absolutely shameless..	negative	movie
sentence_id	sentence	sentiment	topic
0	Watched since the beginning, i can't watch any more.	negative	movie
1	Drama series should be a place to escape from politics and opinions, not a place to have it shoved down your throat...... ugh.	negative	movie
2	Lost everything that made it special.	negative	movie
3	I wish that they would cancel it and stop dragging it out.	negative	movie
4	"They said ""expect the unexpected"" before the launch of the season 8, thereby hrilling everyone's bones to the core."	neutral	movie
5	"I assume when you say something like this to anyone, you say it with promises that you will not get disappointed at all, but the sentence coined by got team has proven correct, it was ""unexpected"" at all with broken hearts of million of fans."	neutral	movie
6	I made the last moment change, ratings from 6 to 5!!!!	neutral	movie
7	The season felt like a bad anime that ran out of source material so they make up some really strange and really bad way of ending the story that makes 0 sense at all to the seasons before it.	negative	movie
8	Do not let these writers get there hands on anouther book movie or series ever again.they gave the middle finger to the whole plot they set up in prior seasons.	negative	movie
9	Season 3 primarily consists of political messaging.	neutral	movie
10	Feels weird, false, gratuitous.	neutral	movie
11	Tough to watch.	neutral	movie
12	Regardless of the story, i couldn't stand most of the acting/writing.	negative	movie
13	Most characters behaved like stressed teenagers and the dialogues felt very forced at times, and with a lot of misplaced humor & weird character interactions.	negative	movie
14	"The story revolves around scientists, however they are portrayed as if they are high school students, both in how they behave and what they talk about and every apect of scientific nature is dumbed down for the audience (""these damn scientists be doing their science n' stuff"") ."	negative	movie
15	I only found the writing and acting of the chinese speaking actors convincing, which made this hard to watch.	negative	movie
16	Best: right up to the point they had source material worst: as soon as they ran out of booksone of the best (essential) character on the show, logic, died after season 4-5.	negative	movie
17	The creators d&d (short for dumb and dumber) are apparently a couple of talent-less hacks, they hardly have anything original on their cv.	negative	movie
18	Started off so well.	neutral	movie
19	Season one was great , season two not bad, season 3 is just a joke.	neutral	movie
20	Stupid storylines trying to be more a of a comedy than cop show.	neutral	movie
21	I loved this show, but since season 3 it has become too political.	neutral	movie
22	Why do shows insist on doing this?	neutral	movie
23	Leave the politics to the politicians.	neutral	movie
24	Tv shows are too one-sided in their portrayal of current views, they go after the popular view, they do not give both sides.	neutral	movie
25	It's very attractive interesting drama that made me wait for it to watch from week to week specially that lovely sweet boy dr.o'malley .......	positive	movie
26	I won't say more about him because my man will kill me if he knew i said so ;'-))	positive	movie
27	The ups & downs, the cheering & letdowns in these people's lives is similar to what any of us may face by accident or what may interfere in his way & the life should move on...	positive	movie
28	The sense of humor is classy & the perfect dose of laughs, love, lust & heartbreaks is all classy, i even loved or maybe wished to be a doctor my self ;'d well done for the whole crew & go forward i wish u all for more success in this project & yet of the rest to come.	positive	movie
29	Just watched the second episode of season 3, and it feels weird that they have to make the girl say thanks to the man sitting in her car...	neutral	movie
30	And this episode keeps underemphasizing crimes...	neutral	movie
31	It made it sounded like people don't have to be responsible for their own behaviors...	neutral	movie
32	Used to be a great series to watch to escape this horrific society we've created.	negative	movie
33	Now with s17, politics and racism managed to squeeze itself in here too, and made it exponentially worse, even insulting at times..	negative	movie
34	The webber/bailey dynamic used to be my absolute favorite, and even those characters got strangled by the politic agenda the writers seem to impose on the audience.	negative	movie
35	Absolutely shameless..	negative	movie
36	It use to be my favorite show by far and i never thought that could change,but it did.last(8)season	neutral	movie
37	I watched only once but all the seasons before that i have seen 3 times,except the season 7,which i saw twice.	neutral	movie
38	Thank god that i did,because now i won't watch the show again.	neutral	movie
39	You really mess it up with the last season.	neutral	movie
40	Am i the only one who thinks it's ridiculous when they call rookies boo???	negative	movie
41	I know lots if cops and have never heard them use that word ever!!!!	negative	movie
42	Stupid	negative	movie
43	So the series is finally over, and the last few episodes absolutely destroyed the legacy.	negative	movie
44	The show averaged a 9.5 since season 1 until the end of season 8, now i just hope people remember to change their ratings to reflect the fact that this show is not deserving of a 10.it couldn't maintain a perfect storyline like breaking bad did, and i believe we owe it to future generations to not mislead them into thinking this is the best show on tv when it started great, but finished horribly	negative	movie
45	There is a lot of adaptation, and the main characters are set together.	neutral	movie
46	The narrative omits some background introduction and exploration of the three-body game, so it also loses a lot of comedic conflict.	neutral	movie
