sentence_id	sentence	sentiment	topic
0	Aggie is angela lansbury who carries pocketbooks instead of writing them.	neutral	book
1	While this light murder mystery is laced with misdirections, the clues lead to a rather obvious cliche of an ending.	neutral	book
2	The setting, views described in the story are its best and most believable parts, and aggie the only well-written character.	neutral	book
3	Very light reading.	neutral	book
4	I did not expect this type of book to be in library was pleased to find it price was right	positive	book
5	This has the makings of a good story... unfortunately it disappoints.it tells of two alpha were who are members of unfriendly packs...	negative	book
6	They have grown up together with one being gay and the other straight...	negative	book
7	Then when it seems they are about to get together something happens and the story is told in alternating chapters of past and present.. the story and the couple fall apart in the switch of time and lack of a sustainable reason for the break.	negative	book
8	Loved this book, i am hooked on this series and hope there is more!	positive	book
9	Kelsey maxwell really made these characters so i couldn't get enough.	positive	book
10	And that's a good thing.	positive	book
11	Short, sweet tease that gives you everything in a quick kick.	positive	book
12	A kick that comes in the dark.	positive	book
13	Even though you already know what the outcome will be, this is still an enjoyable and erotic read.	positive	book
14	It was just a little short for my taste.	positive	book
15	I love j.r. wards books.	positive	book
16	This story was completely awsome zsadist is by for my favorite in the series.	positive	book
17	This book was extremely incredible to read and it had so much heated passion to describe in every steele relationship.	positive	book
18	I'm glad that the brothers and cousin found passionate love at last.	positive	book
19	Gave up about half way through.	negative	book
20	Too much repetition, too much that didn't make sense and was hard to follow.	negative	book
21	I don't know what i was expecting but this was not it in any way form or fashion.	negative	book
22	This book was not exciting at all	negative	book
23	And i think i ordered the wrong book by accident.	negative	book
24	I love to read simon wood's books.	negative	book
25	This one is morbid and makes the reader and victims skin crawl.	negative	book
26	There is not much guessing here.	negative	book
27	Just outright gruesome.	negative	book
28	I found this book to be a very enjoyable read.	positive	book
29	After the first chapter, it really takes off and keeps you entertained until the end.	positive	book
30	I enjoyed it so much that i immediately purchased the next two books in the series.	positive	book
31	Interesting for the historic value-	neutral	book
32	Not really a story, rather an accounting of the events.	neutral	book
33	Interesting biographical information in the 1st person.	neutral	book
34	This is the 3rd book, and my second time through, it's still a good, exciting and loving story, about sharing and making sacrifices for those you love.	positive	book
35	Were that life was so easy!	positive	book
36	I read this book twice to make sure i was as happy with it as i thought.	positive	book
37	I knew is was a short book when i bought it and actually felt bad when i finsihed it.	positive	book
38	The story line was great and the charcters were well thought out.	positive	book
